h3,hour,dow,impact,tickets
8a60144a2cb7fff,6,Wednesday,9.0,1
8a60144a2d9ffff,6,Wednesday,18.0,2
8a60144a2db7fff,6,Wednesday,13.0,2
8a60144a2db7fff,7,Friday,10.0,1
8a60144a649ffff,8,Sunday,10.4,2
8a60144b4d97fff,5,Wednesday,19.0,19
8a60144b586ffff,8,Sunday,2.6,1
8a60144b5a07fff,3,Tuesday,10.0,1
8a60144b5a0ffff,2,Friday,10.0,1
8a60144b5a0ffff,2,Tuesday,10.0,1
8a60144b5a0ffff,5,Thursday,9.0,1
8a60144b5a0ffff,6,Wednesday,9.0,1
8a60144b5a27fff,2,Friday,4.0,4
8a60144b5a27fff,6,Sunday,4.0,1
8a60144b5a27fff,6,Wednesday,9.0,1
8a60144b5a27fff,11,Thursday,28.6,3
8a60144b5a57fff,5,Friday,10.0,1
8a60144b5ae7fff,3,Friday,10.0,1
8a60144b5b17fff,11,Thursday,13.0,1
8a60144b5b17fff,13,Thursday,6.0,1
8a60144b5b1ffff,3,Friday,10.0,1
8a6014510967fff,9,Sunday,1.3,1
8a6014511ca7fff,6,Wednesday,2.0,1
8a601451204ffff,11,Sunday,16.900000000000002,13
8a601451204ffff,12,Tuesday,4.0,4
8a601451206ffff,11,Sunday,3.9000000000000004,3
8a601451206ffff,12,Tuesday,1.0,1
8a60145120cffff,7,Sunday,8.0,1
8a60145120dffff,12,Wednesday,4.0,1
8a6014512337fff,11,Sunday,9.1,7
8a6014512337fff,12,Tuesday,3.0,3
8a60145123b7fff,7,Sunday,21.0,3
8a601451254ffff,12,Sunday,1.0,1
8a601451254ffff,12,Tuesday,4.0,1
8a601451254ffff,13,Friday,6.0,1
8a601451254ffff,13,Monday,4.0,1
8a601451255ffff,6,Wednesday,8.0,1
8a601451255ffff,10,Thursday,23.4,4
8a601451255ffff,11,Sunday,5.2,1
8a601451255ffff,13,Tuesday,12.0,3
8a6014512617fff,4,Thursday,1.0,1
8a6014512617fff,5,Saturday,12.0,1
8a601451262ffff,4,Thursday,1.0,1
8a6014512687fff,4,Thursday,3.0,3
8a6014512757fff,4,Sunday,1.0,1
8a6014512757fff,4,Thursday,8.0,1
8a6014512847fff,11,Saturday,5.2,1
8a6014512a0ffff,2,Thursday,8.0,2
8a6014512a0ffff,12,Wednesday,5.0,1
8a6014512a57fff,10,Wednesday,7.800000000000001,1
8a60145140a7fff,4,Monday,2.0,1
8a60145140affff,14,Sunday,5.0,1
8a601451419ffff,4,Monday,2.0,1
8a6014514807fff,5,Thursday,12.0,1
8a6014514807fff,7,Tuesday,1.0,1
8a6014514827fff,4,Tuesday,4.0,1
8a601451482ffff,6,Tuesday,4.0,1
8a6014514837fff,2,Friday,9.0,2
8a6014514837fff,2,Wednesday,8.0,1
8a6014514837fff,4,Monday,7.2,1
8a6014514837fff,4,Sunday,6.0,2
8a6014514837fff,5,Thursday,1.0,1
8a6014514837fff,6,Sunday,14.0,2
8a6014514837fff,10,Saturday,9.36,1
8a6014514837fff,11,Saturday,5.2,1
8a6014514837fff,11,Sunday,22.1,2
8a6014514837fff,11,Wednesday,5.2,1
8a6014514837fff,12,Tuesday,5.0,1
8a6014514837fff,12,Wednesday,4.0,1
8a6014514837fff,13,Wednesday,6.0,1
8a601451495ffff,3,Wednesday,4.0,1
8a601451498ffff,3,Saturday,8.0,1
8a601451498ffff,7,Saturday,4.0,1
8a601451498ffff,12,Sunday,9.0,2
8a601451499ffff,2,Friday,2.0,1
8a601451499ffff,2,Thursday,4.0,1
8a601451499ffff,2,Wednesday,20.0,1
8a601451499ffff,4,Sunday,4.0,1
8a601451499ffff,11,Friday,5.2,1
8a601451499ffff,11,Sunday,18.2,4
8a601451499ffff,11,Wednesday,5.2,1
8a601451499ffff,12,Friday,8.0,2
8a601451499ffff,12,Saturday,4.0,1
8a601451499ffff,12,Sunday,2.0,1
8a601451499ffff,12,Thursday,8.0,1
8a601451499ffff,12,Wednesday,2.5,1
8a60145149affff,2,Friday,6.0,1
8a60145149affff,11,Wednesday,5.2,1
8a6014514c07fff,11,Thursday,10.4,1
8a6014514c17fff,12,Sunday,1.0,1
8a6014514c27fff,10,Tuesday,5.2,1
8a6014514d0ffff,5,Sunday,45.0,7
8a6014514d0ffff,6,Friday,8.0,2
8a6014514d0ffff,6,Sunday,4.0,1
8a6014514d0ffff,6,Thursday,12.0,3
8a6014514d0ffff,10,Saturday,13.0,3
8a6014514d0ffff,10,Tuesday,20.8,5
8a6014514d0ffff,11,Friday,11.7,3
8a6014514d0ffff,11,Sunday,10.4,3
8a6014514d0ffff,11,Wednesday,22.1,4
8a6014514d0ffff,12,Saturday,16.0,4
8a6014514d1ffff,4,Sunday,20.0,1
8a6014514d1ffff,8,Sunday,13.0,1
8a6014514d1ffff,12,Saturday,4.0,1
8a6014514d47fff,2,Thursday,5.0,1
8a6014514d47fff,6,Sunday,4.0,1
8a6014514d47fff,11,Sunday,15.600000000000001,3
8a6014514d47fff,11,Wednesday,5.2,1
8a6014514d47fff,12,Sunday,2.0,1
8a6014514d47fff,13,Sunday,8.0,1
8a6014514d6ffff,2,Sunday,10.0,1
8a6014514d6ffff,3,Thursday,4.0,1
8a6014514d6ffff,4,Wednesday,2.0,1
8a6014514d6ffff,8,Monday,5.2,1
8a6014514d6ffff,10,Sunday,20.8,3
8a6014514d6ffff,10,Tuesday,13.0,2
8a6014514d6ffff,11,Saturday,10.4,1
8a6014514d6ffff,11,Wednesday,33.8,5
8a6014514d6ffff,12,Sunday,4.0,1
8a6014514d77fff,10,Tuesday,10.4,2
8a6014514d87fff,6,Friday,4.0,1
8a6014514d87fff,6,Thursday,4.0,1
8a6014514d87fff,7,Monday,4.0,1
8a6014514d87fff,7,Sunday,1.0,1
8a6014514d87fff,12,Tuesday,1.0,1
8a6014514d87fff,13,Thursday,1.0,1
8a6014514d87fff,14,Wednesday,2.0,1
8a6014514da7fff,6,Friday,1.0,1
8a6014514da7fff,7,Sunday,8.0,2
8a6014514daffff,3,Monday,4.0,1
8a6014514daffff,4,Monday,1.0,1
8a6014514daffff,4,Thursday,1.0,1
8a6014514daffff,5,Thursday,4.0,1
8a6014514daffff,6,Friday,1.0,1
8a6014514daffff,6,Wednesday,1.0,1
8a6014514daffff,7,Friday,2.0,2
8a6014514daffff,7,Monday,4.0,1
8a6014514daffff,8,Monday,20.8,4
8a6014514daffff,10,Saturday,2.6,1
8a6014514daffff,11,Sunday,20.8,2
8a6014514daffff,12,Friday,13.2,3
8a6014514daffff,12,Sunday,4.0,1
8a6014514daffff,12,Thursday,14.0,2
8a6014514daffff,12,Tuesday,12.0,2
8a6014514daffff,13,Sunday,4.0,1
8a6014514daffff,13,Tuesday,4.0,1
8a6014514daffff,14,Monday,4.0,1
8a6014514daffff,14,Saturday,8.0,1
8a6014514db7fff,2,Wednesday,6.0,1
8a6014514db7fff,3,Thursday,4.0,1
8a6014514db7fff,4,Sunday,2.5,1
8a6014514db7fff,11,Friday,2.6,1
8a6014514db7fff,11,Thursday,2.6,1
8a6014514db7fff,14,Saturday,1.0,1
8a6014516127fff,15,Wednesday,4.0,1
8a6014516487fff,10,Tuesday,15.6,1
8a601451649ffff,11,Thursday,2.6,1
8a601451649ffff,15,Monday,1.0,1
8a601451649ffff,16,Sunday,8.0,1
8a60145164a7fff,12,Thursday,12.0,2
8a60145164b7fff,11,Thursday,7.800000000000001,1
8a60145164b7fff,12,Saturday,10.0,1
8a60145164cffff,7,Sunday,2.0,1
8a60145164cffff,11,Sunday,2.6,1
8a6014516597fff,3,Saturday,4.0,1
8a6014516597fff,3,Sunday,4.0,1
8a6014516597fff,4,Friday,6.0,1
8a6014516597fff,4,Saturday,4.0,1
8a6014516597fff,4,Sunday,8.0,2
8a6014516597fff,4,Wednesday,13.0,9
8a6014516597fff,5,Monday,1.0,1
8a6014516597fff,5,Sunday,10.5,3
8a6014516597fff,6,Sunday,4.0,2
8a6014516597fff,7,Sunday,3.0,2
8a6014516597fff,9,Friday,6.5,1
8a6014516597fff,10,Tuesday,3.9,1
8a6014516597fff,11,Friday,2.6,2
8a6014516597fff,11,Wednesday,16.9,3
8a6014516597fff,12,Friday,2.0,2
8a6014516597fff,12,Saturday,2.0,2
8a6014516597fff,12,Sunday,1.0,1
8a6014516597fff,12,Thursday,8.0,3
8a6014516597fff,12,Tuesday,1.0,1
8a6014516597fff,12,Wednesday,7.0,3
8a6014516597fff,13,Friday,11.0,10
8a6014516597fff,13,Saturday,4.0,1
8a6014516597fff,13,Thursday,10.0,5
8a6014516597fff,13,Wednesday,2.0,2
8a6014516597fff,14,Wednesday,4.0,1
8a601451659ffff,13,Thursday,1.0,1
8a60145165b7fff,6,Sunday,1.0,1
8a601451661ffff,3,Wednesday,1.0,1
8a60145166b7fff,5,Wednesday,2.0,1
8a601451679ffff,7,Friday,2.0,1
8a60145167affff,7,Friday,1.0,1
8a6014516957fff,12,Monday,4.0,1
8a6014516c97fff,6,Thursday,1.0,1
8a601451845ffff,10,Saturday,5.2,1
8a60145187a7fff,3,Thursday,6.0,1
8a60145187a7fff,8,Friday,7.800000000000001,1
8a60145187a7fff,8,Wednesday,7.800000000000001,1
8a601451bda7fff,11,Wednesday,7.800000000000001,1
8a601451d69ffff,1,Thursday,6.0,1
8a601451d69ffff,10,Tuesday,10.4,2
8a601451d69ffff,11,Sunday,10.4,1
8a601451e29ffff,4,Sunday,8.0,1
8a601451e2c7fff,8,Wednesday,11.7,1
8a601451e4cffff,4,Thursday,8.0,1
8a601451e66ffff,1,Sunday,4.0,1
8a601451e7b7fff,4,Thursday,16.0,2
8a601453341ffff,2,Thursday,5.0,1
8a6014533487fff,2,Friday,4.0,1
8a6014533487fff,2,Thursday,1.0,1
8a6014533487fff,3,Thursday,2.0,2
8a6014533487fff,3,Wednesday,24.0,11
8a6014533487fff,4,Tuesday,8.0,2
8a6014533487fff,6,Sunday,12.0,3
8a6014533487fff,10,Tuesday,18.2,5
8a6014533487fff,11,Saturday,15.600000000000001,2
8a6014533487fff,11,Sunday,15.600000000000001,2
8a6014533487fff,11,Thursday,15.600000000000001,3
8a6014533487fff,11,Wednesday,20.8,4
8a6014533487fff,12,Sunday,12.0,3
8a601453348ffff,2,Thursday,1.0,1
8a6014533497fff,3,Wednesday,4.0,1
8a6014533497fff,11,Sunday,16.9,3
8a60145334affff,2,Friday,10.0,3
8a60145334affff,2,Sunday,4.0,1
8a60145334affff,3,Tuesday,10.0,3
8a60145334affff,4,Saturday,10.0,1
8a60145334affff,4,Thursday,4.0,1
8a60145334affff,4,Tuesday,4.0,1
8a60145334affff,11,Saturday,31.200000000000003,6
8a60145334affff,11,Sunday,20.15,3
8a60145334affff,12,Sunday,8.0,2
8a60145334affff,12,Tuesday,11.0,3
8a60145334b7fff,4,Wednesday,4.0,1
8a60145334b7fff,12,Sunday,12.0,3
8a6014533557fff,11,Friday,1.3,1
8a6014536497fff,11,Sunday,1.3,1
8a601458031ffff,3,Friday,6.0,1
8a601458031ffff,4,Saturday,1.0,1
8a601458031ffff,12,Wednesday,7.0,2
8a601458034ffff,2,Saturday,5.0,3
8a601458034ffff,2,Tuesday,10.0,2
8a601458034ffff,3,Friday,2.0,1
8a601458034ffff,3,Saturday,2.0,1
8a601458034ffff,3,Thursday,4.0,1
8a601458034ffff,3,Wednesday,10.0,1
8a601458034ffff,4,Monday,4.0,2
8a601458034ffff,4,Thursday,5.0,2
8a601458034ffff,5,Monday,2.0,1
8a601458034ffff,5,Sunday,13.0,3
8a601458034ffff,5,Tuesday,12.0,4
8a601458034ffff,6,Sunday,1.0,1
8a601458034ffff,7,Friday,1.0,1
8a601458034ffff,8,Sunday,5.2,1
8a601458034ffff,9,Monday,5.2,2
8a601458034ffff,9,Wednesday,10.4,1
8a601458034ffff,10,Friday,2.6,1
8a601458034ffff,10,Saturday,2.6,2
8a601458034ffff,10,Thursday,7.800000000000001,2
8a601458034ffff,10,Wednesday,2.6,1
8a601458034ffff,11,Monday,18.2,6
8a601458034ffff,11,Saturday,1.3,1
8a601458034ffff,11,Thursday,5.2,1
8a601458034ffff,11,Tuesday,1.3,1
8a601458034ffff,12,Friday,3.0,2
8a601458034ffff,12,Monday,5.0,2
8a601458034ffff,12,Wednesday,2.0,1
8a601458034ffff,13,Friday,3.0,2
8a601458034ffff,14,Friday,2.0,1
8a601458035ffff,4,Monday,5.0,5
8a6014580367fff,4,Monday,4.0,1
8a6014580367fff,4,Thursday,6.0,1
8a6014580367fff,11,Monday,5.2,1
8a6014580367fff,11,Sunday,1.3,1
8a6014580367fff,12,Thursday,4.0,1
8a6014580367fff,12,Tuesday,4.0,1
8a601458036ffff,3,Wednesday,1.0,1
8a601458036ffff,5,Monday,2.0,1
8a601458036ffff,11,Monday,5.2,1
8a601458036ffff,11,Wednesday,1.3,1
8a601458036ffff,13,Wednesday,4.0,1
8a6014580527fff,11,Tuesday,14.3,2
8a6014580807fff,5,Sunday,3.0,3
8a6014580807fff,7,Tuesday,3.0,3
8a6014580807fff,9,Saturday,3.9000000000000004,3
8a6014580807fff,9,Wednesday,9.1,7
8a6014580807fff,10,Thursday,1.3,1
8a6014580807fff,11,Thursday,11.05,2
8a6014580807fff,14,Saturday,4.0,4
8a6014580807fff,14,Thursday,2.0,2
8a6014580817fff,2,Saturday,1.0,1
8a6014580817fff,2,Thursday,16.0,1
8a6014580817fff,2,Wednesday,4.0,1
8a6014580817fff,3,Friday,10.0,7
8a6014580817fff,3,Monday,1.0,1
8a6014580817fff,3,Saturday,3.0,3
8a6014580817fff,3,Thursday,6.0,6
8a6014580817fff,5,Sunday,10.0,10
8a6014580817fff,5,Thursday,13.0,13
8a6014580817fff,6,Thursday,2.0,2
8a6014580817fff,7,Saturday,4.0,1
8a6014580817fff,7,Sunday,1.0,1
8a6014580817fff,7,Tuesday,7.0,7
8a6014580817fff,8,Tuesday,19.5,15
8a6014580817fff,8,Wednesday,23.400000000000002,18
8a6014580817fff,9,Saturday,6.5,5
8a6014580817fff,9,Wednesday,14.3,11
8a6014580817fff,10,Monday,11.7,8
8a6014580817fff,10,Thursday,10.4,8
8a6014580817fff,11,Wednesday,13.0,1
8a6014580817fff,12,Wednesday,5.0,1
8a6014580817fff,13,Friday,8.0,1
8a6014580817fff,13,Sunday,1.0,1
8a6014580817fff,14,Saturday,11.0,11
8a6014580817fff,14,Thursday,13.0,13
8a6014580817fff,15,Monday,11.0,11
8a601458081ffff,5,Monday,1.0,1
8a601458081ffff,13,Saturday,8.0,1
8a6014580837fff,4,Monday,1.0,1
8a6014580837fff,4,Tuesday,3.0,3
8a6014580837fff,13,Sunday,3.0,3
8a60145808a7fff,3,Monday,1.0,1
8a60145808a7fff,4,Monday,1.0,1
8a60145808a7fff,4,Tuesday,3.0,3
8a60145808a7fff,9,Saturday,9.1,7
8a60145808a7fff,10,Saturday,14.3,11
8a60145808a7fff,12,Saturday,2.0,2
8a60145808a7fff,14,Saturday,2.0,2
8a60145808affff,12,Wednesday,2.0,1
8a60145808c7fff,12,Saturday,8.0,1
8a601458092ffff,11,Wednesday,5.2,4
8a601458098ffff,4,Monday,15.0,15
8a601458098ffff,4,Tuesday,3.0,3
8a601458098ffff,9,Saturday,1.3,1
8a601458098ffff,14,Saturday,2.0,2
8a6014580ac7fff,7,Saturday,10.0,2
8a6014580ac7fff,9,Tuesday,9.75,3
