h3,total_impact,tickets,approved_share,top_violation,peak_hour,peak_dow,lat,lon,local_score,tier,location_name,junction_share,near_junction,gi_z,gi_p,gi_tier,road_class,lanes_est,road_dist_m,road_source,mean_footprint,capacity_loss_pct
8a60145b424ffff,4541.05,1290,0.4255813953488372,WRONG PARKING,1,Saturday,12.977471820704286,77.57774336435139,11.52034678640464,CRITICAL,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1.0,True,24.928,1.831916036547688e-137,CRITICAL,tertiary,2.0,55.2,OSM,3.2151162790697674,61.6
8a60145b5517fff,5143.6,3031,0.4209831738700099,NO PARKING,8,Saturday,12.977475805197638,77.57654003177262,11.29400352787764,CRITICAL,"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1.0,True,24.142,4.567606913609265e-129,CRITICAL,tertiary,2.0,46.0,OSM,1.4816892114813593,48.6
8a60145b5537fff,6622.85,2646,0.481859410430839,WRONG PARKING,9,Sunday,12.976405098564122,77.57712378077314,11.598890289622508,CRITICAL,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1.0,True,23.455,5.861749774095866e-122,CRITICAL,tertiary,2.0,37.2,OSM,2.130196523053666,53.5
8a60145b426ffff,3805.7,1573,0.3763509218054672,NO PARKING,9,Wednesday,12.976401104119606,77.57832711706658,10.134905472005146,CRITICAL,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1.0,True,23.077,3.948212773275762e-118,CRITICAL,tertiary,2.0,57.8,OSM,2.137317228226319,53.5
8a60145b55a7fff,1533.4,420,0.5,NO PARKING,1,Friday,12.978542527174165,77.57715961141322,8.164601750419088,CRITICAL,"5th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1.0,True,22.118,1.0553361292065481e-108,CRITICAL,tertiary,2.0,14.5,OSM,3.3059523809523808,62.3
8a60145b5c9ffff,699.55,290,0.3689655172413793,NO PARKING,9,Sunday,12.975334381816484,77.57770752955085,7.716514208682597,CRITICAL,"BB Naidu Road, Sagar Theatre Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1.0,True,21.449,2.309890097803846e-102,CRITICAL,primary,4.0,80.0,OSM,2.043103448275862,26.4
8a60145b55affff,86.85,34,0.4411764705882353,WRONG PARKING,1,Saturday,12.97854650171605,77.57595628254938,8.010257013246289,CRITICAL,"SC Road Cross, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1.0,True,21.432,3.338710416900062e-102,CRITICAL,tertiary,2.0,64.8,OSM,2.338235294117647,55.0
8a60145b4247fff,2476.15,697,0.4906743185078909,NO PARKING,1,Friday,12.977467830626429,77.57894671319185,10.33692922998584,CRITICAL,"2nd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1.0,True,21.274,9.781019019027316e-101,CRITICAL,tertiary,2.0,72.7,OSM,3.3694404591104736,62.8
8a60145b551ffff,5005.4,2096,0.4847328244274809,WRONG PARKING,10,Tuesday,12.977479784106672,77.5753367154563,10.890495535719689,CRITICAL,"Subedar Chatram Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1.0,True,21.218,3.247608144647064e-100,CRITICAL,tertiary,2.0,30.4,OSM,2.076574427480916,53.1
8a60145b425ffff,4201.85,1031,0.3967022308438409,NO PARKING,1,Thursday,12.978538547047505,77.57836295653925,8.649801088123885,CRITICAL,"5th Cross Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1.0,True,21.03,1.7357933682407102e-98,CRITICAL,tertiary,2.0,65.0,OSM,3.9034917555771096,66.8
8a60145b5c97fff,1391.8,396,0.5075757575757576,WRONG PARKING,8,Tuesday,12.975330377421065,77.5789108695587,7.193626342667891,CRITICAL,"1st Main Road, Sagar Theatre Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1.0,True,20.467,2.1032319509992164e-93,CRITICAL,tertiary,2.0,14.4,OSM,2.9734848484848486,59.8
8a60145b5507fff,2176.7,1065,0.447887323943662,WRONG PARKING,2,Saturday,12.976409087424589,77.5759204607417,10.704155176576617,CRITICAL,"Subedar Chatram Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1.0,True,20.369,1.569950328220743e-92,CRITICAL,tertiary,2.0,32.3,OSM,1.8830985915492957,51.6
8a60145b4267fff,3911.5,993,0.4813695871097684,WRONG PARKING,10,Sunday,12.976397104090829,77.57953046962126,7.704983282704476,CRITICAL,"1st Main Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1.0,True,19.635,3.888864666306446e-86,CRITICAL,tertiary,2.0,15.5,OSM,3.4264853977844916,63.2
