h3,max_p,mean_p,expected_hi_hours,fc_dow,fc_hour,fc_p,fc_dow_name,risk_tier,tier,lat,lon,location_name,top_violation,total_impact,capacity_loss_pct,near_junction,peak_dow,peak_hour
8a6014586d27fff,0.9315272100672982,0.2422728636905317,40.701841100009325,6,8,0.9315272100672982,Sunday,Medium,CRITICAL,12.997873568235525,77.547401782275,"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",WRONG PARKING,929.45,53.7,1.0,Tuesday,10
8a6014586d37fff,0.8723504313899157,0.24735806421947315,41.55615478887149,4,7,0.8723504313899157,Friday,Medium,CRITICAL,12.998940221413704,77.5480210987739,"3rd Main Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",WRONG PARKING,271.0,45.6,1.0,Tuesday,4
8a6014586db7fff,0.29743835994406786,0.16640496041452232,27.95603334963975,6,11,0.29743835994406786,Sunday,Low,CRITICAL,13.002143894597776,77.54867604819795,"11th Cross Road, Dr M Munivenkataswamy Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",WRONG PARKING,9.0,60.0,1.0,Thursday,7
8a60145a220ffff,0.19513073853512392,0.12031520683029695,20.21295474748989,6,11,0.19513073853512392,Sunday,Low,HIGH,12.963708022643862,77.53841233172415,"4th Cross Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",WRONG PARKING,2.6,35.0,1.0,Saturday,11
8a60145a221ffff,0.7480308966442498,0.2739872962129486,46.02986576377536,6,7,0.7480308966442498,Sunday,High,HIGH,12.964774580420295,77.53903148565863,"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",WRONG PARKING,2618.35,32.9,1.0,Saturday,11
8a60145a22c7fff,0.9216548943779413,0.28202030155294516,47.37941066089479,1,10,0.9216548943779413,Tuesday,High,CRITICAL,12.9658489119973,77.53724512164958,"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",WRONG PARKING,954.85,43.5,1.0,Tuesday,10
8a60145a22e7fff,0.9051449780645285,0.22786096384313093,38.280641925645995,2,2,0.9051449780645285,Wednesday,Medium,CRITICAL,12.964778472377809,77.53782872679415,"Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",WRONG PARKING,502.25,38.1,1.0,Tuesday,10
8a60145a24dffff,0.18391499908863218,0.10937303747196496,18.374670295290112,6,9,0.18391499908863218,Sunday,Low,HIGH,12.974358324706763,77.54941590877216,"1st Cross Road, Vidyaranya Nagar, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",WRONG PARKING,170.0,29.6,1.0,Monday,3
8a60145a2687fff,0.8780350351614713,0.2564380962363213,43.08160016770198,0,7,0.8780350351614713,Monday,High,HIGH,12.974373790534775,77.54460425854464,"1st Cross Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",WRONG PARKING,2056.7,23.2,1.0,Wednesday,8
8a60145a2697fff,0.834477661258016,0.24207763156285983,40.669042102560454,0,10,0.834477661258016,Monday,Medium,HIGH,12.97544039054157,77.54522349858547,"1st Cross Road, Sindhya Sunshine Apartment, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",WRONG PARKING,272.5,38.0,1.0,Wednesday,9
8a60145a26a7fff,0.8457123038667635,0.24104864057653574,40.49617161685801,6,11,0.8457123038667635,Sunday,Medium,HIGH,12.973303332275302,77.54518790269701,"1st B Main Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",WRONG PARKING,327.0,45.3,1.0,Wednesday,4
8a60145a26affff,0.868151399504926,0.23472642661483856,39.43403967129288,4,13,0.868151399504926,Friday,Medium,HIGH,12.97330719474614,77.5439850271146,"3rd Cross Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",WRONG PARKING,116.0,45.6,1.0,Sunday,8
8a60145a26b7fff,0.8531270174494702,0.2818943475044806,47.35825038075274,4,10,0.8531270174494702,Friday,High,HIGH,12.974369932444365,77.5458071466811,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",WRONG PARKING,1993.6,45.4,1.0,Wednesday,8
8a60145a279ffff,0.3144112488833924,0.18848895852180717,31.666145031663604,6,11,0.3144112488833924,Sunday,Low,CRITICAL,12.973299464227352,77.54639079456044,"2nd Cross Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",NO PARKING,35.0,45.7,1.0,Thursday,5
8a60145a2b4ffff,0.8368159354834245,0.2238013117118653,37.59862036759337,0,9,0.8368159354834245,Monday,Medium,HIGH,12.953010955457982,77.54184281828802,"Mysore Road, Iyannashetty Layout, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",NO PARKING,697.98,28.2,1.0,Monday,9
8a60145b00dffff,0.8855833808213588,0.21898027445430876,36.78868610832387,4,11,0.8855833808213588,Friday,Low,HIGH,12.99673153917672,77.57084567210181,"5th Cross Road, Malleshwaram Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",WRONG PARKING,305.40000000000003,44.7,0.0,Saturday,10
8a60145b0607fff,0.8087036086547006,0.25553452102373064,42.92979953198675,1,8,0.8087036086547006,Tuesday,High,CRITICAL,13.001009906965384,77.56971391430439,"Siddavanahalli Krishna Sharma Road, Kadumalleshwara, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",WRONG PARKING,214.1,46.8,0.0,Tuesday,7
8a60145b0627fff,0.3589122132291801,0.2429285917291299,40.81200341049382,0,11,0.3589122132291801,Monday,Medium,CRITICAL,12.99993937329685,77.57029768677292,"9th Cross Road, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",WRONG PARKING,43.0,42.0,0.0,Tuesday,8
8a60145b062ffff,0.8789524222912458,0.24335701272183735,40.88397813726868,3,6,0.8789524222912458,Thursday,Medium,CRITICAL,12.999943171111903,77.5690943671788,"Siddavanahalli Krishna Sharma Road, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",WRONG PARKING,508.2,45.8,0.0,Saturday,6
8a60145b0637fff,0.8761257070330036,0.2081833334485538,34.97480001935704,6,13,0.8761257070330036,Sunday,Low,CRITICAL,13.001006113515574,77.57091724644923,"Sri Venkataranga Ayangar Road, Acharya Sri Ramanuja Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",WRONG PARKING,860.75,47.2,0.0,Sunday,10
8a60145b0687fff,0.19725033619492177,0.1171885415612421,19.687674982288673,6,11,0.19725033619492177,Sunday,Low,HIGH,13.004213914408991,77.5703692538205,"14th Cross Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",NO PARKING,4.6,42.0,0.0,Friday,11
8a60145b0697fff,0.9087669099522363,0.2933809226131428,49.28799499900799,5,7,0.9087669099522363,Saturday,High,CRITICAL,13.005280662640835,77.5709888228406,"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",WRONG PARKING,1358.4,49.5,0.0,Friday,5
8a60145b069ffff,0.9471645226561383,0.28939071329887983,48.61763983421181,1,5,0.9471645226561383,Tuesday,High,CRITICAL,13.005284427448508,77.56978547303014,"15th Cross Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",NO PARKING,1045.9,50.9,0.0,Monday,7
