primary_violation,impact,tickets
WRONG PARKING,392955.45,141718
NO PARKING,330908.95,121747
PARKING IN A MAIN ROAD,177972.2,23183
DOUBLE PARKING,6703.2,1390
PARKING NEAR ROAD CROSSING,5808.87,943
PARKING ON FOOTPATH,4916.1,2157
DEFECTIVE NUMBER PLATE,1658.3,723
PARKING OTHER THAN BUS STOP,1439.6,181
PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,1312.7,496
PARKING OPPOSITE TO ANOTHER PARKED VEHICLE,576.3,109
PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS,283.0,78
H T V PROHIBITED,219.0,20
REFUSE TO GO FOR HIRE,38.2,18
FAIL TO USE SAFETY BELTS,10.0,1
WITHOUT SIDE MIRROR,3.6,3
DEMANDING EXCESS FARE,1.0,1
